 2^N を M進数で表したときの桁数
M＼N   4  5  6  7  8|  9 10 11 12 13 14 15 16| 17 18 19 20 21 22 23 24| 25 26 27 28 29 30 31 32| 33 34 35 36 37 38 39 40| 41 42 43 44 45 46 47 48| 49 50 51 52 53 54 55 56| 57 58 59 60 61 62 63 64| 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128
 2 :   4  5  6  7  8|  9 10 11 12 13 14 15 16| 17 18 19 20 21 22 23 24| 25 26 27 28 30 30 32 32| 33 34 35 36 37 38 40 40| 41 42 43 44 45 46 48 48| 49 50 52 52 53 54 56 56| 57 59 60 60 61 63 63 64| 65 66 67 68 69 70 71 72 73 74 75 76 77 79 79 80 81 82 83 84 85 86 87 88 89 90 91 92 94 95 96 96 97 98 99 100 102 103 103 104 105 106 107 108 110 111 111 112 113 114 115 117 118 119 119 120 121 122 123 125 126 126 127 128
 3 :   3  4  4  5  6|  6  7  7  8  9  9 10 11| 11 12 12 13 14 14 15 16| 16 17 18 18 19 19 20 21| 21 22 23 23 24 24 25 26| 26 27 28 28 29 30 30 31| 31 32 33 33 34 35 35 36| 36 37 38 38 39 40 40 41| 42 42 43 43 44 45 45 46 47 47 48 48 49 50 50 51 52 52 53 53 54 55 55 56 57 57 58 59 59 60 60 61 62 62 63 64 64 65 65 66 67 67 68 69 69 70 71 71 72 72 73 74 74 75 76 76 77 77 78 79 79 80 81 81
 4 :   2  3  3  4  4|  5  5  6  6  7  7  8  8|  9  9 10 10 11 11 12 12| 13 13 14 14 15 15 16 16| 17 17 18 18 19 19 20 20| 21 21 22 22 23 23 24 24| 25 25 26 26 27 27 28 28| 29 30 30 30 31 32 32 32| 33 33 34 34 35 35 36 36 37 37 38 38 39 40 40 40 41 41 42 42 43 43 44 44 45 45 46 46 47 48 48 48 49 49 50 50 51 52 52 52 53 53 54 54 55 56 56 56 57 57 58 59 59 60 60 60 61 61 62 63 63 63 64 64
 5 :   2  3  3  4  4|  4  5  5  6  6  7  7  7|  8  8  9  9 10 10 10 11| 11 12 12 13 13 13 14 14| 15 15 16 16 16 17 17 18| 18 19 19 19 20 20 21 21| 22 22 22 23 23 24 24 25| 25 25 26 26 27 27 28 28| 28 29 29 30 30 31 31 32 32 32 33 33 34 34 35 35 35 36 36 37 37 38 38 38 39 39 40 40 41 41 41 42 42 43 43 44 44 44 45 45 46 46 47 47 47 48 48 49 49 50 50 50 51 51 52 52 53 53 53 54 54 55 55 56
 6 :   2  2  3  3  4|  4  4  5  5  6  6  6  7|  7  7  8  8  9  9  9 10| 10 11 11 11 12 12 12 13| 13 14 14 14 15 15 16 16| 16 17 17 18 18 18 19 19| 19 20 20 21 21 21 22 22| 23 23 23 24 24 24 25 25| 26 26 26 27 27 28 28 28 29 29 30 30 30 31 31 31 32 32 33 33 33 34 34 35 35 35 36 36 36 37 37 38 38 38 39 39 40 40 40 41 41 42 42 42 43 43 43 44 44 45 45 45 46 46 47 47 47 48 48 48 49 49 50 50
 7 :   2  2  3  3  3|  4  4  4  5  5  5  6  6|  7  7  7  8  8  8  9  9|  9 10 10 10 11 11 12 12| 12 13 13 13 14 14 14 15| 15 15 16 16 17 17 17 18| 18 18 19 19 19 20 20 20| 21 21 22 22 22 23 23 23| 24 24 24 25 25 25 26 26 27 27 27 28 28 28 29 29 29 30 30 30 31 31 31 32 32 33 33 33 34 34 34 35 35 35 36 36 36 37 37 38 38 38 39 39 39 40 40 40 41 41 41 42 42 43 43 43 44 44 44 45 45 45 46 46
 8 :   2  2  2  3  3|  3  4  4  4  5  5  5  6|  6  6  7  7  8  8  8  8|  9  9 10 10 10 10 11 11| 12 12 12 12 13 13 14 14| 14 15 15 15 15 16 16 16| 17 17 18 18 18 19 19 19| 19 20 20 20 21 21 21 22| 22 23 23 23 24 24 24 24 25 25 25 26 26 27 27 27 28 28 28 29 29 29 30 30 30 30 31 31 32 32 32 32 33 33 33 34 34 35 35 35 35 36 36 37 37 37 37 38 38 38 39 39 40 40 40 40 41 41 42 42 42 42 43 43
 9 :   2  2  2  3  3|  3  4  4  4  5  5  5  6|  6  6  6  7  7  7  8  8|  8  9  9  9 10 10 10 11| 11 11 12 12 12 12 13 13| 13 14 14 14 15 15 15 16| 16 16 17 17 17 18 18 18| 18 19 19 19 20 20 20 21| 21 21 22 22 22 23 23 23 24 24 24 24 25 25 25 26 26 26 27 27 27 28 28 28 29 29 29 30 30 30 30 31 31 31 32 32 32 33 33 33 34 34 34 35 35 35 36 36 36 36 37 37 37 38 38 38 39 39 39 40 40 40 41 41
10 :   2  2  2  3  3|  3  4  4  4  4  5  5  5|  6  6  6  7  7  7  7  8|  8  8  9  9  9 10 10 10| 10 11 11 11 12 12 12 13| 13 13 13 14 14 14 15 15| 15 16 16 16 16 17 17 17| 18 18 18 19 19 19 19 20| 20 20 21 21 21 22 22 22 22 23 23 23 24 24 24 25 25 25 25 26 26 26 27 27 27 28 28 28 28 29 29 29 30 30 30 31 31 31 32 32 32 32 33 33 33 34 34 34 35 35 35 35 36 36 36 37 37 37 38 38 38 38 39 39
